siruta,populatie
96888,2478
96904,2562
97241,3392
97394,1724
97553,1799
97875,4408
97777,1527
98113,5059
98202,1718
98603,3164
98685,6889
99290,2984
98827,4224
98916,4072
99780,6770
99441,2487
99673,7021
100308,1416
100219,6347
121876,2725
123255,3296
163324,2206
124331,1917
162452,1522
161794,49929
162595,1575
161829,24997
161856,7897
161945,50935
162014,2792
162069,1547
162149,1651
162194,5115
162327,2698
162381,3844
45619,2848
162498,4651
162559,1504
163379,2290
162693,3138
162924,2524
163253,2132
162791,1367
162871,2001
163002,4234
163057,1939
163137,2867
163208,1766
167277,2130
164062,2404
163486,4751
163734,3185
163618,3879
164339,3726
163681,4215
163789,3017
163903,1974
163832,4914
163967,2516
164133,3130
164197,2727
164277,2609
68253,3028
164393,4344
164543,2365
164598,3083
165130,3045
164687,3864
164749,3433
166137,2192
164829,2399
164892,2545
164936,3464
65681,12767
165185,3956
164981,6423
165069,2444
55008,31702
166413,3111
165274,3435
132404,7019
165336,2817
165416,2865
166707,1878
165719,3353
165470,4506
165611,3082
165817,3099
165899,3487
166182,2000
165979,4972
166057,3102
166235,3147
166315,2104
166529,3189
166636,3837
166672,2772
166770,3893
166869,3600
166985,2242
167035,1960
167071,3648
167231,1752
167240,1776
110535,2727
167179,8206
167222,1388
167268,1597
167295,1796
167302,2674
167320,3218
174860,14670
175260,1618
175055,7248
175787,1715
133161,10029
176445,6007
177352,3486
110571,2026
42771,1453
42913,2608
43331,10049
126228,2060
43279,2236
43313,3210
44113,2440
133214,7418
43117,1298
43242,1782
43466,2963
43493,2834
43563,3163
76932,1433
43625,3107
43652,3976
43698,1137
43992,1587
76969,9889
44140,4211
44177,3774
44202,3264
44257,2034
44300,5086
76996,4706
44391,3974
44462,2398
44934,2481
45361,2307
48842,4063
50399,1546
75203,31045
75221,4682
76807,3506
77579,2321
75258,6520
75098,231204
75114,3455
75338,2853
75356,3617
75472,6148
74411,2340
75542,2042
127064,3686
27383,4686
75613,2252
75668,2244
75686,1762
75711,3876
76558,2899
75864,3077
75917,2163
76139,2087
75953,7197
76004,2048
76040,5013
76111,2267
76157,6206
76175,4781
76255,5169
76282,2976
76585,4274
76601,8091
76317,4659
108918,1618
76353,3570
76406,5558
76674,8753
76692,11450
76718,4535
76763,2163
77028,2163
45673,2745
77126,2428
77224,4608
77260,1321
77288,1809
77313,4780
77475,3947
77509,1931
77536,1929
77561,1474
159730,7666
159614,66644
159767,3541
159687,4955
160724,2292
161525,1165
159883,925
159945,2354
160323,1387
161552,1656
160047,557
160476,1393
160127,3453
113849,1932
160387,3312
113894,1860
74509,2759
160172,2086
155109,1265
155118,1684
160430,5056
51305,1733
160261,1218
167311,1610
160528,1238
161561,1439
160564,2037
160617,5258
160680,4201
160877,2638
160779,829
160831,2310
161053,2119
74616,1821
74554,3085
160911,3164
161286,1047
160993,2466
161035,4090
43812,2747
74867,1304
161133,502
161151,1528
161231,794
153204,2670
161482,3069
161302,4235
161543,2170
161464,3144
177842,4379
177879,1935
174922,9440
175590,3005
176212,3885
176613,4403
176748,2916
94081,1787
176855,1960
177986,3780
178894,3048
129040,2607
178607,4956
178821,5976
178929,1777
178938,3010
178956,1769
44560,2877
60570,6436
42842,3044
42968,2723
43019,3036
43073,3448
73068,3578
43411,6332
44060,3364
44435,3656
44532,3049
49046,3628
61808,1515
61826,1923
61871,3033
60598,5268
94651,2513
61121,4480
61210,3137
61256,3124
62397,4933
62440,4419
62486,2523
63318,2091
63326,1025
60419,254693
60455,8621
60482,33434
60507,31554
125542,14770
60534,6845
60632,6120
60721,6471
61559,2785
70502,6703
60776,16129
70637,5318
60801,8850
60847,36008
61452,1724
60883,2150
60945,3250
70673,1654
61005,2805
70726,2011
61069,5017
61372,4516
127019,4614
61283,3186
61318,8346
61513,5431
61675,2311
127126,2361
61737,2853
61951,1929
62137,2130
62020,2381
62761,4956
62057,3027
62707,3201
62253,3038
70897,4186
127144,2837
62191,9739
63189,1618
62280,4763
62360,9634
62538,4951
62609,1459
62672,3088
62798,3551
62823,1233
63125,11452
62985,1569
62878,2037
62903,1959
62949,1308
63072,5148
127251,3505
63152,8121
63161,517
104582,3372
63170,610
63198,2607
63278,1083
63294,1903
63300,3360
63334,1554
93487,8112
93600,2513
93628,2255
93735,3263
93815,4075
92836,7080
93236,1868
93281,3836
93325,1691
92569,57118
92587,9098
7810,2157
29092,6646
92658,43061
92701,27122
92765,10289
93995,2920
82733,3012
92961,7321
113493,2787
92989,4471
93021,2263
93156,2326
93539,2724
179677,1406
94223,4902
93575,5244
94045,2664
94312,5805
94376,3175
103194,2430
93646,1509
94161,3515
94429,3819
94492,1714
94535,1993
94562,3174
94580,2166
94688,1835
94795,2152
159650,8071
111006,3274
159785,4583
160644,3858
159847,1487
159963,2889
160092,2104
161106,1857
51010,21932
160225,1941
180000,1766
161179,5715
111097,2314
161259,1625
130785,10011
161348,1523
110875,2851
161384,4535
179702,3130
179819,2764
179980,1480
10006,1818
111863,3515
50790,65509
71457,3503
50889,7010
51243,2393
50969,14297
50987,652
51662,86
51118,10225
71812,1541
51207,9260
51332,2577
51387,1125
52115,1859
51699,1959
51500,3601
51546,1390
51573,2736
