siruta,populatie
26582,8798
26653,4729
155154,1506
152993,2165
34397,2741
67121,3393
41667,8114
26742,3477
41925,4585
149584,1847
158608,293
158653,5279
60687,12342
101341,3967
13276,6856
72882,1573
13169,148264
30014,2781
65707,2084
30274,6268
49233,1314
158733,3012
158859,3783
158966,2497
151022,6126
157781,2192
67773,3071
127171,2133
64942,4292
26975,17042
151433,2063
27169,3041
93771,3282
98220,4740
27908,1852
152760,4437
27285,3155
65431,8345
77153,3649
126905,1218
151503,2177
27631,3891
27757,3334
31789,7017
28246,2201
152038,2957
103087,5258
65921,13664
31841,2688
113732,3126
152868,2069
10649,1185
153561,3268
11478,884
80980,3524
26840,6144
74859,3396
33364,3222
82047,3195
46019,3776
153605,5675
28335,3461
74224,1563
128560,2791
127224,2804
153829,2293
153865,2130
10701,1470
10827,2838
157530,3119
153124,1971
28415,2104
28530,3055
70879,3363
71199,3221
28610,2285
28665,4132
11236,1278
11398,5449
28816,2247
29001,3682
11423,3588
153277,4036
11584,11885
29038,2555
29154,5119
29467,3354
111444,3120
71572,3279
35759,4403
66438,4512
131817,11707
113518,1331
11637,1584
134336,2097
29403,3557
153437,1255
107519,3025
127288,3947
29662,2241
110688,986
127563,1493
30470,2848
146628,22145
108204,4196
36202,3667
86461,2671
29724,4214
111480,3299
95471,9386
30648,2039
66474,6738
66697,7574
29519,3246
66731,5323
118370,2368
120860,47304
36952,3586
37011,3043
31716,6675
30719,2863
93851,2631
93888,6072
33382,4495
30773,3013
64390,2258
29760,1502
33177,1506
64425,2028
96334,3020
54163,1114
34547,3093
54387,2536
9574,9648
10872,3667
10916,2173
10943,3949
122285,1840
70744,4312
70968,792
71518,2298
17968,3224
71536,2264
72221,2630
11539,4008
11995,3003
73335,6758
11842,2850
11940,5252
148426,7170
73503,2637
12402,326
71607,5845
11735,2027
12457,1714
93931,3371
153589,2756
73665,2383
65501,4226
12572,1720
103693,2140
127812,1723
11502,1863
31609,1933
31654,3942
93209,1994
32090,2275
32153,1963
32161,2446
71634,4498
89954,1640
153776,2817
156712,4009
136768,2451
71885,3054
153909,968
156801,6571
66768,5042
157193,1117
105142,2102
157585,2135
157683,2151
67292,3612
157736,1573
73709,4467
27846,2551
27971,4183
28077,1827
28709,2411
28889,1325
28941,2471
30336,3150
30568,7022
30844,2359
31262,4290
31379,1005
31976,3898
32045,1330
55446,9011
56014,1164
56461,2197
57163,1504
58204,1616
58357,2194
135725,3504
58393,1439
157969,1049
58464,1444
159384,3048
58534,1468
59041,4724
59238,1401
59283,1441
59434,1628
60169,2296
102446,2726
87291,13909
87362,3769
87745,2591
87843,840
88092,3652
102473,3080
12206,2868
88350,1193
88546,1725
91937,1175
88788,1967
154166,1119
88868,1525
92097,863
158010,3994
88920,255
89080,869
89687,1465
90208,1805
154996,2431
90805,1323
91447,1070
73736,10381
91795,3721
135850,2410
74536,3740
92177,1854
108366,1217
107083,1406
107118,1820
107190,1392
154415,1895
107234,1113
136642,8411
136526,20181
136713,2792
136964,3147
137032,3331
137292,2350
67470,4160
137363,1573
137443,2150
137611,2697
158181,2958
137540,3751
137844,3047
137899,1735
138734,2353
138208,4205
138431,4739
138770,1161
159071,2009
138805,1342
139884,13200
72926,4831
138921,4187
139358,4637
139054,1713
72953,3154
139107,2144
139250,1450
139937,1362
139982,2198
140208,2020
140280,3671
99539,4896
140379,2539
140440,1732
140477,1091
140547,2185
141946,2516
9360,2523
140627,6471
140869,1853
141081,1431
141312,2376
180037,1877
136250,2116
141535,2421
141722,3598
133964,5220
142006,3037
142239,3594
142284,3728
142337,2375
142612,3225
135128,1160
142676,1592
142881,6007
102525,2957
104387,4827
142952,2836
179631,921
179882,1401
104519,3238
42183,3163
10453,2194
45753,4363
45959,2501
78141,18142
46180,3459
47916,9959
49484,3139
63580,7319
63740,18082
78454,4357
63526,9909
63553,1004
63633,3665
64005,1545
135949,10337
63688,4562
63937,3074
64130,3359
71956,6096
64194,3956
100521,54655
64318,4722
64568,1206
100549,2320
64602,3505
64773,2294
100576,21960
77180,3978
65011,5185
9495,6849
65147,951
65048,4512
65099,1043
130712,7946
100781,6247
100834,7254
100969,7869
131461,3478
9538,9078
101001,5000
101145,5818
101902,4633
101662,5788
101742,10416
102071,3430
72980,1294
102035,6450
102106,7001
102160,6585
12912,1618
102213,6108
102543,7251
12938,2408
102570,8200
102605,5123
131577,5934
102909,5054
73013,1309
102945,5449
136278,2128
105874,6074
103354,1964
103372,2567
103513,7137
77331,7093
73317,4628
104118,2476
104243,6149
27436,4091
104136,7492
77377,2395
28139,1611
104546,7301
104680,4159
105106,3007
105160,6773
105348,2189
105570,5044
131620,10064
28763,2678
105936,8728
130847,5752
132896,5062
130534,197542
130552,9037
130614,6027
130678,8320
130892,8879
131069,10811
132137,1206
131443,7509
135501,2962
131835,5858
131933,5573
132226,2577
132271,3335
132486,1638
34422,1000
132574,4595
132645,1719
132716,3167
133018,4810
133090,4370
179533,20215
133429,1934
133508,5114
133615,2255
133722,5016
133795,6459
134014,4664
134096,10143
134390,2331
134443,4740
134559,5059
66081,9355
134648,3885
134942,8595
135020,5166
135315,3699
135404,1630
135431,4853
179551,38680
136241,2760
136134,6486
179347,8017
179383,11485
179588,3048
179141,194608
179169,342541
179178,261306
179187,241585
179196,333422
179221,14410
179249,13261
179766,1680
179409,10565
179463,6870
179481,12671
66401,1845
179515,23309
179775,2754
3958,2798
22718,3080
23975,3261
86479,2002
32884,2307
32704,2744
32768,1851
33015,3081
33275,2161
70520,2505
33435,5505
33658,2564
33765,2279
33881,1299
33952,1386
34075,3025
34477,1423
34645,2790
34690,3627
83847,2432
34850,2652
35312,1935
34985,5242
40394,5011
40704,2305
83197,3292
40768,2399
41248,2119
86495,1587
41701,3179
56773,1964
56327,1237
63447,8567
159464,2805
83491,2573
73460,1853
111989,1938
63802,4307
77402,6504
64041,4618
66857,8085
83133,33265
160458,1333
53489,1674
64504,1082
83151,1908
64871,4053
64997,1628
65121,1774
86501,1958
83525,9491
65139,1824
86487,1780
83320,37980
83375,1822
83464,5864
86519,2047
83561,17705
66955,1636
83785,2480
83632,13282
83749,6820
84460,2476
83936,2649
83963,2026
84264,3902
83981,4751
84086,4334
84102,2688
84148,1503
84175,6005
84237,2291
84344,5480
84380,1025
84415,3633
85877,1820
84558,5475
84594,3395
84629,3383
84656,5265
84754,3202
117275,1638
12242,4231
84825,4421
84923,2800
85056,1330
85074,2632
85127,3437
85243,1257
120502,1260
85680,2502
85341,6218
85412,6171
85467,1220
85528,3772
85582,2567
85626,2711
85760,6048
85788,2308
85840,3429
85920,5064
85984,3732
86453,2553
86133,3276
86188,2117
86222,1161
86339,1921
86366,5580
86438,2190
86446,2089
114355,5592
114382,7275
114417,9006
114453,5616
116224,554
114319,127849
114514,26370
118637,960
73567,4767
114603,5123
114809,31657
115307,3680
114854,10234
116652,5697
114925,20685
114970,4658
116288,4276
115076,5008
115147,3197
115575,2385
112076,2829
115183,2811
32201,2044
115389,6214
115520,3865
115600,742
115637,4698
113206,1415
115708,2251
115851,2412
117925,3186
115897,3941
115959,5799
116126,1621
116340,883
116171,1378
116439,1784
116493,4710
116545,4020
116590,3797
119803,1586
116723,1623
116796,4595
116867,3055
116938,3511
116983,2947
117042,3157
70940,3478
117177,5459
158314,7782
117319,5988
71698,4046
117783,2045
117426,5055
117505,1266
117827,8373
68431,3660
117550,4306
117667,2104
117998,2610
118094,1270
72533,2768
118209,4372
158396,2168
159393,1542
118058,1992
118469,2398
118281,5359
118511,1336
73923,2307
118575,2308
118691,5999
118753,1907
118799,2912
118824,2095
29948,2842
118931,2053
74883,1717
119206,1911
118995,3666
126148,3170
119153,2125
119590,2807
119242,6833
119331,5055
119723,2200
119386,2343
119466,4099
119527,3044
119625,1430
119661,2202
119750,1978
119894,6622
120076,1909
120218,1586
15901,5246
120138,1961
120174,895
120254,3529
120316,1721
120343,1152
120370,3157
120478,1765
120487,2728
120511,1189
129282,1753
159419,1983
120968,6298
122025,2127
121297,4136
121340,4064
122249,2750
122864,2199
122953,3619
124563,2225
143619,44169
159455,2479
143646,2779
143771,5201
143806,6990
144116,3565
143995,1395
152127,2440
144152,3638
13301,30644
144198,2519
144303,2227
144349,3108
13365,5091
152797,1769
144376,1387
144553,2752
15493,2252
144615,2078
144651,2692
14851,3928
144731,3248
145104,3258
16285,3049
145961,1825
146012,1886
179686,2655
19338,4808
13490,30025
13524,4004
15830,3719
13622,26133
14726,1184
138574,3099
13819,5308
13891,1561
14753,1805
13999,3236
14049,2360
14085,2745
14922,2809
14165,5618
14272,4045
14352,1915
155494,10048
14405,3284
14584,4565
15402,3018
15448,2090
15108,10294
76745,3243
15313,2240
15741,5187
15983,2080
16132,2054
154380,2177
16329,939
16365,3410
16427,1756
16472,2561
16506,1939
16551,3019
16659,2127
17101,4312
16908,4588
17334,1601
17049,4660
17423,2063
17913,1108
17619,3797
112129,1385
17771,1409
17851,5610
105455,2536
18527,5673
18670,4586
18554,2178
18778,4770
18858,4304
19249,3368
19141,2527
133866,606
19392,2102
19631,2721
19695,2478
19999,3050
20055,2852
20063,2894
72034,4582
40241,19836
40278,28330
67014,7040
40492,21681
40544,1790
40633,4846
42472,1247
40820,1540
40857,2556
40928,4468
40991,839
42480,1147
41113,2034
41177,4852
179891,3443
67256,4750
41284,2127
41346,1681
65609,7428
41417,2629
112245,2501
41471,4621
41578,1779
41621,3199
41738,3006
42464,1505
41818,2733
65645,2030
41854,3202
41943,1692
42076,878
42101,2126
65477,7028
42156,1865
42236,1917
67407,8690
42307,2503
42398,4440
42449,1653
65342,73964
66009,4013
66526,2857
67835,5011
67942,2452
68002,5004
78873,3082
68182,5066
68404,3116
68565,1843
68716,4185
132805,4472
68921,5113
69303,2719
69526,6081
69615,3025
129503,961
178901,2642
134899,2016
143682,8300
143888,1504
144232,1953
179793,1057
143959,2408
144893,999
144964,1166
144410,689
144456,1386
143922,1327
144508,884
144535,1214
145140,2678
72052,3000
145293,2954
168675,2688
179800,1822
168755,1265
169404,1987
4482,2012
170220,2435
171469,1240
78472,2568
112263,1290
171628,3355
154521,1884
112334,1299
172153,2246
63045,1708
172812,948
179640,5013
179908,2498
1696,20119
78542,1857
1874,24165
4106,1615
4268,938
6217,3028
7044,2107
177101,1796
7099,5600
7945,2313
8014,2660
9019,1074
78258,5368
78329,7897
177655,6447
78926,2113
79362,2093
80766,2719
79308,8795
81861,4747
79406,3366
80711,2252
179757,2286
155760,2651
79834,5178
80613,2069
80908,1985
81380,2830
